year,asset_return,asset_return_recession,asset_return_2recessions,asset_return_severe_recession,asset_return_2severe_recessions,actual_inflation,initial_benefit,new_hire
2018,0.072,0.072,0.072,0.072,0.072,0,0,0
2019,0.081,0.081,0.081,0.081,0.081,0.019101588,0,0
2020,-0.006,-0.006,-0.006,-0.006,-0.006,0.022851297,61.02991181,0
2021,0.07,-0.24,-0.24,0.15,0.15,0.013620055,62.7838,0.01
2022,0.07,0.11,0.11,0.32,0.32,0.023,66.5476,0.01
2023,0.07,0.11,0.11,0.32,0.32,0.023,70.6166,0.01
2024,0.07,0.11,0.11,0.32,0.32,0.023,75.0062,0.01
2025,0.07,0.07,0.08,0.06,0.06,0.023,79.7427,0.01
2026,0.07,0.07,0.08,0.06,0.06,0.023,68.1288,0.005
2027,0.07,0.07,0.08,0.06,0.06,0.023,72.315,0.005
2028,0.07,0.07,0.08,0.06,0.06,0.023,76.7355,0.005
2029,0.07,0.07,0.08,0.06,0.06,0.023,81.3923,0.005
2030,0.07,0.07,0.08,0.06,0.06,0.023,86.292,0.005
2031,0.07,0.07,0.08,0.06,0.06,0.023,91.4352,0.01
2032,0.07,0.07,0.08,0.06,0.06,0.023,97.1674,0.01
2033,0.07,0.07,0.08,0.06,0.06,0.023,103.1778,0.01
2034,0.07,0.07,0.08,0.06,0.06,0.023,109.4616,0.01
2035,0.07,0.07,0.08,0.06,0.06,0.023,70.2256,0.01
2036,0.07,0.07,-0.24,0.06,0.15,0.023,74.2401,0.01
2037,0.07,0.07,0.11,0.06,0.32,0.023,78.3579,0.02
2038,0.07,0.07,0.11,0.06,0.32,0.023,82.5335,0.03
2039,0.07,0.07,0.11,0.06,0.32,0.023,86.7227,0.04
2040,0.07,0.07,0.08,0.06,0.06,0.023,90.8981,0.05
2041,0.07,0.07,0.08,0.06,0.06,0.023,95.9224,0.07
2042,0.07,0.07,0.08,0.06,0.06,0.023,92.454,0.09
2043,0.07,0.07,0.08,0.06,0.06,0.023,97.0952,0.11
2044,0.07,0.07,0.08,0.06,0.06,0.023,101.621,0.13
2045,0.07,0.07,0.08,0.06,0.06,0.023,106.0094,0.15
2046,0.07,0.07,0.08,0.06,0.06,0.023,110.22,0.3
2047,0.07,0.07,0.08,0.06,0.06,0.023,114.2493,0.45
2048,0.07,0.07,0.08,0.06,0.06,0.023,118.1766,0.6
2049,0.07,0.07,0.08,0.06,0.06,0.023,121.8258,0.75
2050,0.07,0.07,0.08,0.06,0.06,0.023,125.2174,0.9
2051,0.07,0.07,0.08,0.06,0.06,0.023,129.1438,1
2052,0,,,,,0,0,0